"","x","y","id","Latitude.max","lat_min.Latitude.min","long_max.Longitude.max","long_min.Longitude.min","rating","price"
"1",-73.98405754,40.75228492,105,40.76788947,40.73397366,-73.96818832,-73.99710048,3.69,"$$"
"2",-74.01267231,40.70718101,101,40.72658765,40.6829252,-73.99919596,-74.04773109,3.58,"$$$"
"3",-73.98554403,40.71960377,103,40.73444305,40.70795563,-73.97162841,-74.00147285,4,"$$"
"4",-74.00155028,40.72983479,102,40.74242485,40.7162399,-73.98986997,-74.01517229,3.95,"$$$"
"5",-73.9975377,40.75543047,104,40.77409446,40.73736915,-73.98142825,-74.01214958,3.76,"$$"
"6",-73.96555997,40.78248161,164,40.80059082,40.76428715,-73.94923471,-73.98168088,3.75,"$$"
"7",-73.97612592,40.78717536,107,40.80579842,40.7683984,-73.95817441,-73.99393839,3.67,"$$$"
"8",-73.93151871,40.8551254,112,40.87762977,40.83038027,-73.91042787,-73.95015665,3.69,"$"
"9",-73.95503039,40.81805973,109,40.83446757,40.8011647,-73.93962713,-73.9711091,3.77,"$$"
"10",-73.97457476,40.74466572,106,40.76223509,40.72663671,-73.95749488,-73.98878076,3.69,"$$"
"11",-73.95572852,40.77157093,108,40.7879222,40.74960922,-73.93552306,-73.97301631,3.83,"$$"
"12",-73.9447363,40.81369741,110,40.8361184,40.79688027,-73.93380163,-73.95964829,3.78,"$$"
"13",-73.9349784,40.79491579,111,40.81835804,40.78092859,-73.91378528,-73.9557788,3.79,"$$"
