name,year,director,address,lat,lon,borough,nbhd,imdb,type
The Godfather Part II,1974,Francis Ford Coppola,E. 6th St. and Ave. A<br>East Village<br>Manhattan,40.72539684,-73.98378432,Manhattan,East Village,http://www.imdb.com/title/tt0071562/,Films
The Interpreter,2005,Sydney Pollack,United Nations<br>First Ave. and E. 45th St.<br>Manhattan,40.75067069,-73.96795392,Manhattan,Midtown,http://www.imdb.com/title/tt0373926/,Films
The Late Show with David Letterman,1993-?,"Jerry Foley,Randi Grossack,(more)",Ed Sullivan Theatre<br>1697 Broadway<br>Manhattan,40.763719,-73.982833,Manhattan,Midtown,http://www.imdb.com/title/tt0106053/,Films
The Lost Weekend,1945,Billy Wilder,Third Ave. from E. 55th to 110th St.<br>Upper East Side to E. Harlem<br>Manhattan,40.759,-73.9685,Manhattan,Upper East Side,http://imdb.com/title/tt0037884/,Films
The Night They Raided Minsky's ,1968,William Friedkin,"E. 26th St. near Second Ave.<br>Manhattan
",40.739701,-73.978935,Manhattan,Midtown,http://www.imdb.com/title/tt0063348/,Films
The Out-of-Towners,1970,Arthur Hiller,Central Park<br>Manhattan,40.78970474,-73.96065831,Manhattan,Central Park,http://www.imdb.com/title/tt0066193/,Films
The Panic in Needle Park,1971,Jerry Schatzberg,W. 72nd St. and Broadway<br>Upper West Side<br>Manhattan,40.7788,-73.9821,Manhattan,Upper West Side,http://www.imdb.com/title/tt0067549/,Films
The Pawnbroker,1965,Sidney Lumet,Park Ave. and E. 116th St.<br>Harlem<br>Manhattan,40.79935,-73.94325,Manhattan,Harlem,http://imdb.com/title/tt0059575/,Films
The Pick-Up Artist,1984,James Toback,Columbus Ave. near W. 75th St.<br>Upper West Side<br>Manhattan,40.7794,-73.9774,Manhattan,Upper West Side,http://www.imdb.com/title/tt0093737/,Films
The Prisoner of Second Avenue,1975,Melvin Frank,Second Ave. and E. 87th St.<br>Upper East Side<br>Manhattan,40.7786,-73.9513,Manhattan,Upper East Side,http://www.imdb.com/title/tt0072034/,Films
The Producers,1968,Mel Brooks,East 80's<br>Upper East Side<br>Manhattan,40.77708049,-73.9539206,Manhattan,Upper East Side,http://www.imdb.com/title/tt0063462/,Films
The Producers,1968,Mel Brooks,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77234375,-73.98341954,Manhattan,Upper West Side,http://www.imdb.com/title/tt0063462/,Films
The Producers,2005,Susan Stroman,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77214875,-73.98319423,Manhattan,Upper West Side,http://www.imdb.com/title/tt0395251/,Films
The Professional,1994,Luc Besson,Manhattan,40.75421427,-73.96904826,Manhattan,Midtown,http://imdb.com/title/tt0110413/,Films
The Royal Tenenbaums,2001,Wes Anderson,Convent Ave. and 144th St.<br>Hamilton Heights<br>Manhattan,40.824,-73.9467,Manhattan,Harlem,http://www.imdb.com/title/tt0265666/,Films
The Seven Year Itch,1955,Billy Wilder,Lexington Ave. between 51st St. and 52nd St.<br>Midtown<br>Manhattan,40.75744885,-73.97163928,Manhattan,Midtown,http://imdb.com/title/tt0048605/,Films
The Squid and the Whale,2005,Noah Baumbach,Museum of Natural History<br>W. 79th St. and Central Park West<br>Manhattan,40.78099638,-73.97245467,Manhattan,Upper West Side,http://www.imdb.com/title/tt0367089/,Films
The Wiz,1978,Sidney Lumet,World Trade Center<br>Lower Manhattan,40.71092245,-74.01405036,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0078504/,Films
The Wrong Man,1956,Alfred Hitchcock,Subway at 53rd St. and Fifth Ave.<br>Midtown<br>Manhattan,40.76050449,-73.97546411,Manhattan,Midtown,http://imdb.com/title/tt0051207/,Films
Three Days of the Condor,1975,Sydney Pollack,Riverside Drive<br>Upper West Side<br>Manhattan,40.81431267,-73.96185994,Manhattan,Harlem,http://www.imdb.com/title/tt0073802/,Films
Times Square,1980,Allan Moyle,W. 42nd St. between Seventh Ave. and Eighth Ave.<br>Times Square<br>Manhattan,40.75668492,-73.98842454,Manhattan,Times Square,http://www.imdb.com/title/tt0081635/,Films
Tootsie,1982,Sydney Pollack,W. 42nd between Ninth Ave. and Tenth Ave.<br>Midtown<br>Manhattan,40.75918798,-73.99477601,Manhattan,Midtown,http://www.imdb.com/title/tt0084805/,Films
Two for the Seesaw,1962,"Robert Wise
",Brooklyn Bridge,40.705693,-73.99630487,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0056626/,Films
Up the Down Staircase,1967,Robert Mulligan,East Harlem (El Barrio)<br>Manhattan,40.79792464,-73.94221544,Manhattan,Harlem,http://www.imdb.com/title/tt0062425/,Films
Up the Sandbox,1972,Irvin Kershner,Carousel<br>Central Park<br>Manhattan,40.77056434,-73.97752404,Manhattan,Central Park,http://www.imdb.com/title/tt0069449/,Films
Up the Sandbox,1972,Irvin Kershner,Riverside Park near W. 109th St.<br>Morningside Heights<br>Manhattan,40.805169,-73.96920919,Manhattan,Morningside Heights,http://www.imdb.com/title/tt0069449/,Films
Vanilla Sky,2001,Cameron Crowe,W. 45th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.75787145,-73.98539901,Manhattan,Times Square,http://www.imdb.com/title/tt0259711/,Films
Wall Street,1987,Oliver Stone,New York Stock Exchange<br>Exchange Place<br>Lower Manhattan,40.70605086,-74.01056349,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0094291/,Films
Wall Street,1987,Oliver Stone,Broadway and Vesey St.,40.7114,-74.0086,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0094291/,Films
West Side Story,1961,"Robert Wise,Jerome Robbins",W. 68th St.<br>Upper West Side<br>Manhattan,40.77621929,-73.98391843,Manhattan,Upper West Side,http://imdb.com/title/tt0055614/,Films
West Side Story,1961,"Robert Wise,Jerome Robbins",W. 68th St.<br>Upper West Side<br>Manhattan,40.77651178,-73.98512006,Manhattan,Upper West Side,http://imdb.com/title/tt0055614/,Films
When Harry Met Sally,1989,Rob Reiner,Katz's Deli<br>205 E. Houston St.<br>Manhattan,40.722322,-73.987433,Manhattan,Lower East Side,http://www.imdb.com/title/tt0098635/,Films
When Harry Met Sally,1989,Rob Reiner,Washington Square Park<br>West Village<br>Manhattan,40.73113694,-73.99718463,Manhattan,West Village,http://www.imdb.com/title/tt0098635/,Films
Wolfen,1981,Michael Wadleigh,World Trade Center<br>Lower Manhattan,40.71013359,-74.01267707,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0083336/,Films
You're a Big Boy Now,1966,Francis Ford Coppola,"New York Public Library<br>Fifth Ave. and 41st St.<br>Manhattan
",40.752865130000004,-73.98153663,Manhattan,Midtown,http://www.imdb.com/title/tt0061209/,Films
You've Got Mail,1998,Nora Ephron,Verdi Square<br>W. 73rd St.  & Broadway<br>Manhattan,40.77925782,-73.98153663,Manhattan,Upper West Side,http://www.imdb.com/title/tt0128853/,Films
You've Got Mail,1998,Nora Ephron,91st Street Community Garden<br>Riverside Park<br>Manhattan,40.79282387,-73.97741675,Manhattan,Upper West Side,http://www.imdb.com/title/tt0128853/,Films
Wolfen,1981,Michael Wadleigh,Manhattan Bridge,40.70823052,-73.99117649,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0083336/,Films
The Hours,2002,Stephen Daldry,W. 14th St. and Hudson St.<br>West Village<br>Manhattan,40.74059157,-74.00546193,Manhattan ,West Village,http://imdb.com/title/tt0274558/,Films
A Perfect Murder,1998,Andrew Davis,Long Island City,40.74607025,-73.95038009,Queens,Queens,http://www.imdb.com/title/tt0120787/,Films
Cagney & Lacey,1982-1988,"Barbara Avedon,Barbara Corday,(more)",Howard Beach<br>Queens,40.66553541,-73.841257100000007,Queens,Queens,http://imdb.com/title/tt0083395/,Films
Goodfellas,1990,Martin Scorsese,24-13 32nd St.<br>Astoria<br>Queens,40.77148249,-73.91521633,Queens,Queens,http://imdb.com/title/tt0099685/,Films
Sesame Street,1969-today,"Joan Ganz Cooney,(more)",Kaufman Astoria Studios<br>Astoria<br>Queens,40.757599,-73.923671,Queens,Queens,http://www.imdb.com/title/tt0063951/,Films
Spider-Man,2002,Sam Raimi,Sunnyside<br>Queens,40.74823233,-73.9139986,Queens,Queens,http://www.imdb.com/title/tt0145487/,Films
The Basketball Diaries ,1995,Scott Kalvert,Forest Hills,40.729403,-73.845455,Queens,Queens,http://imdb.com/title/tt0112461/,Films
Ferry Tales,2003,Katja Esson,St. George Station<br>Staten Island,40.64456836,-74.072721,Staten Island,Staten Island,http://www.imdb.com/title/tt0363607/,Films
Working Girl,1988,Mike Nichols,Staten Island Ferry<br>New York Harbor,40.68233035,-74.03574944,Staten Island,Staten Island,http://www.imdb.com/title/tt0096463/,Films
Fort Apache the Bronx,1981,Daniel Petrie,A South Bronx rooftop<br>The Bronx,40.81744688,-73.90884876,Bronx,The Bronx,http://imdb.com/title/tt0082402/,Films
I Like It Like That,1994,Darnell Martin,170th St. in Morrisania<br>The Bronx,40.83870044,-73.91373038,Bronx,The Bronx,http://www.imdb.com/title/tt0110091/,Films
Jumpin' at the Boneyard,1992,Jeff Stanzler,Burned-out blocks in the Bronx,40.83438208,-73.91993165,Bronx,The Bronx,http://imdb.com/title/tt0102174/,Films
Marty,1955,Delbert Mann,The Bronx,40.839742,-73.880923,Bronx,The Bronx,http://imdb.com/title/tt0048356/,Films
Wolfen,1981,Michael Wadleigh,Charlotte St.<br>The Bronx,40.83478796,-73.89212251,Bronx,The Bronx,http://www.imdb.com/title/tt0083336/,Films
