name,year,director,address,lat,lon,borough,nbhd,imdb,type
Desperately Seeking Susan,1985,Susan Seidelman,George Washington Bus Terminal<br>Manhattan,40.849284,-73.936966,Manhattan,Fort George,http://www.imdb.com/title/tt0089017/,Films
Die Hard: With a Vengeance,1995,John McTiernan,Central Park South<br>Manhattan,40.76705413,-73.97899389,Manhattan,Central Park,http://www.imdb.com/title/tt0112864/,Films
Downtown 81 / New York Beat Movie,1981,Edo Bertoglio,The Empire State Building<br>Midtown<br>Manhattan,40.74834612,-73.98488402,Manhattan,Midtown,http://www.imdb.com/title/tt0208993/,Films
Downtown 81 / New York Beat Movie,1981,Edo Bertoglio,Guggenheim Museum<br>Upper East Side<br>Manhattan,40.782972,-73.959376,Manhattan,Upper East Side,http://www.imdb.com/title/tt0208993/,Films
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Orchard St. and Rivington St.<br>Lower East Side<br>Manhattan,40.7203,-73.9891,Manhattan,Lower East Side,http://www.imdb.com/title/tt0338013/,Films
Fame,1980,Alan Parker,High School of the Performing Arts<br>120 W. 46th St.<br>Manhattan,40.757566,-73.983047,Manhattan,Times Square,http://www.imdb.com/title/tt0080716/,Films
Fame,1980,Alan Parker,W. 59th St. and Tenth Ave.<br>Upper West Side<br>Manhattan,40.7704,-73.9876,Manhattan,Upper West Side,http://www.imdb.com/title/tt0080716/,Films
Force of Evil,1948,Abraham Polonsky,George Washington Bridge<br>Manhattan,40.84936524,-73.94247293,Manhattan,Washington Heights,http://imdb.com/title/tt0040366/,Films
Ghostbusters,1984,Ivan Reitman,Columbus Circle<br>Upper West Side<br>Manhattan,40.76812671,-73.98195505,Manhattan,Upper West Side,http://www.imdb.com/title/tt0087332/,Films
Ghostbusters,1984,Ivan Reitman,W. 66th St. and Central Park West<br>Upper West Side<br>Manhattan,40.7724,-73.9787,Manhattan,Upper West Side,http://www.imdb.com/title/tt0087332/,Films
Godspell,1973,David Greene,World Trade Center<br>Lower Manhattan,40.71226431,-74.01123941,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Times Square<br>Manhattan,40.75931801,-73.98484647,Manhattan,Times Square,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Lincoln Center<br>Upper West Side<br>Manhattan,40.77230313,-73.98337662,Manhattan,Upper West Side,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77335125,-73.98368776,Manhattan,Upper West Side,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Bethesda Fountain<br>Central Park<br>Manhattan,40.77436686,-73.97078633,Manhattan,Central Park,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Ramble<br>Central Park<br>Manhattan,40.77646303,-73.97097945,Manhattan,Central Park,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Under Triboro Bridge<br>Randalls Island,40.78457084,-73.92944813,Manhattan,Randall's Island,http://www.imdb.com/title/tt0070121/,Films
Godspell,1973,David Greene,Soldiers and Sailor's Monument<br>Riverside Park (at 89th St.)<br>Manhattan,40.79230402,-73.97877395,Manhattan,Upper West Side,http://www.imdb.com/title/tt0070121/,Films
Godzilla,1988,Roland Emmerich,Madison Square Garden<br>Midtown<br>Manhattan,40.75034558,-73.99149835,Manhattan,Midtown,http://www.imdb.com/title/tt0120685/,Films
Green Card,1990,Peter Weir,W. 76th St & Columbus<br>Upper West Side<br>Manhattan,40.78,-73.9769,Manhattan,Upper West Side,http://www.imdb.com/title/tt0099699/,Films
Greetings,1968,Brian De Palma,39 Whitehall St.<br>Lower Manhattan,40.702951,-74.012777,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0063036/,Films
Hair,1979,Milos Forman,Sheep's Meadow<br>Central Park<br>Manhattan,40.77179937,-73.97488475,Manhattan,Central Park,http://www.imdb.com/title/tt0079261/,Films
Hannah and Her Sisters,1986,Woody Allen,Spring St. and Green St.<br>SoHo<br>Manhattan,40.7238,-74.0004,Manhattan,SoHo,http://www.imdb.com/title/tt0091167/,Films
Hannah and Her Sisters,1986,Woody Allen,W. 95th St. and West End Ave.<br>Upper West Side<br>Manhattan,40.7946,-73.9737,Manhattan,Upper West Side,http://www.imdb.com/title/tt0091167/,Films
Hannah and Her Sisters,1986,Woody Allen,Metro Theatre (2626 Broadway)<br>Upper West Side<br>Manhattan,40.796766,-73.969947,Manhattan,Upper West Side,http://www.imdb.com/title/tt0091167/,Films
Heights,2005,Chris Terrio,Municipal Building<br>1 Centre St.<br>Lower Manhattan,40.71302062,-74.00337517,Manhattan,Lower Manhattan,http://imdb.com/title/tt0382073/,Films
Hitch,2005,Andy Tennant,Spring St. and Greene St.<br>SoHo<br>Manhattan,40.7238,-74.0004,Manhattan,SoHo,http://www.imdb.com/title/tt0386588/,Films
I Shot Andy Warhol,1996,Mary Harron,W. 20th St. <br>Chelsea<br>Manhattan,40.74053466,-73.99303257,Manhattan,Chelsea,http://www.imdb.com/title/tt0116594/,Films
Inside Man,2006,Spike Lee,William St. and Wall St.<br>Lower Manhattan,40.7064,-74.0095,Manhattan,Lower Manhattan,http://imdb.com/title/tt0454848/,Films
It Could Happen to You,1994,Andrew Bergman,W. Broadway and N. Moore St.<br>TriBeCa<br>Manhattan,40.7197,-74.0059,Manhattan,TriBeCa,http://www.imdb.com/title/tt0110167/,Films
Jeremy,1973,Arthur Barron,Central Park<br>Manhattan,40.77474873,-73.97250831,Manhattan,Central Park,http://www.imdb.com/title/tt0070238/,Films
Jungle Fever,1991,Spike Lee,Strivers' Row<br>Harlem<br>Manhattan,40.81803961,-73.94421637,Manhattan,Harlem,,Films
Kids,1995,Larry Clark,Washington Square Park<br>West Village<br>Manhattan,40.7310719,-73.99686277,Manhattan,West Village,http://www.imdb.com/title/tt0113540/,Films
Killer's Kiss,1957,Stanley Kubrick,Rooftops<br>Lower Manhattan,40.70821425,-74.01365876,Manhattan,Lower Manhattan,http://imdb.com/title/tt0048254/,Films
King Kong,1976,John Guillermin,World Trade Center<br>Lower Manhattan,40.71254894,-74.01477993,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0074751/,Films
Kissing Jessica Stein,2001,Charles Herman-Wurmfeld,E. 6th St.<br>East Village<br>Manhattan,40.7255,-73.984,Manhattan,East Village,http://www.imdb.com/title/tt0264761/,Films
Klute,1971,Alan J. Pakula,World Trade Center<br>Lower Manhattan,40.71126402,-74.01129305,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0067309/,Films
Klute,1971,Alan J. Pakula,Hell's Kitchen<br>Ninth Ave.<br>Manhattan,40.76160968,-73.99031281,Manhattan,Midtown,http://www.imdb.com/title/tt0067309/,Films
Klute,1971,Alan J. Pakula,123rd St.<br>Harlem<br>Manhattan,40.80091344,-73.93336952,Manhattan,Harlem,http://www.imdb.com/title/tt0067309/,Films
Kojak,1973-1978,"Abby Mann,(more)",60 Baxter St.<br>Lower Manhattan,40.715847,-74.000547,Manhattan,Lower Manhattan,http://imdb.com/title/tt0069599/,Films
Kojak,1973-1978,"Abby Mann,(more)",Lincoln Center<br>Upper West Side<br>Manhattan,40.77240875,-73.98376286,Manhattan,Upper West Side,http://imdb.com/title/tt0069599/,Films
Kramer vs. Kramer,1979,Robert Benton,P.S. 6 (45 E. 81st St.)<br>Upper East Side<br>Manhattan,40.777554,-73.960694,Manhattan,Upper East Side,http://www.imdb.com/title/tt0079417/,Films
Law & Order,1988- Today,"Dick Wolf,(more)",Worth St.<br>Lower Manhattan,40.7171,-74.0063,Manhattan,Lower Manhattan,http://imdb.com/title/tt0098844/,Films
Little Manhattan,2005,Mark Levin,Christopher St. Station<br>Sheridan Square<br>Manhattan,40.73360844,-74.00279582,Manhattan,West Village,http://www.imdb.com/title/tt0412922/,Films
Mad Hot Ballroom,2005,Marilyn Agrelo,Washington Heights<br>Harlem<br>Manhattan,40.83228774,-73.94633532,Manhattan,Harlem,http://www.imdb.com/title/tt0438205/,Films
Malcolm X,1992,Spike Lee,"Adjacent to Apollo Theater,<br>W. 125th St. between 7th and 8th Aves<br>Harlem, Manhattan",40.810038,-73.95045,Manhattan,Harlem,http://www.imdb.com/title/tt0104797/,Films
Man Push Cart,2005,Ramin Bahrani,Midtown<br>Manhattan,40.7552,-73.9733,Manhattan,Midtown,http://imdb.com/title/tt0464105/,Films
Manhattan,1979,Woody Allen,MoMA<br>W. 53rd St.<br>Manhattan,40.76113835,-73.97720218,Manhattan,Midtown,http://www.imdb.com/title/tt0079522/,Films
McCloud,1970-1977,"Lou Antonio,Jack Arnold,(more)",Manhattan,40.75728631,-74.00074124,Manhattan,Midtown,http://imdb.com/title/tt0065317/,Films
Mean Streets,1973,Martin Scorsese,Hester St. and Baxter St.<br>Little Italy<br>Manhattan,40.7185,-73.9988,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0070379/,Films
Men in Black,1997,Barry Sonnenfeld,Battery Park<br>Lower Manhattan,40.70435915,-74.01472628,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0119654/,Films
Men in Black,1997,Barry Sonnenfeld,MacDougal St.<br>SoHo<br>Manhattan,40.73164913,-73.99913192,Manhattan,SoHo,http://www.imdb.com/title/tt0119654/,Films
Men in Black,1997,Barry Sonnenfeld,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.752412,-73.977979,Manhattan,Midtown,http://www.imdb.com/title/tt0119654/,Films
Men in Black,1997,Barry Sonnenfeld,Guggenheim Museum<br>E. 88th St. and Fifth Ave.<br>Manhattan,40.78257241,-73.95934939,Manhattan,Upper East Side,http://www.imdb.com/title/tt0119654/,Films
Midnight Cowboy,1969,John Schlesinger,1414 Broadway<br>Midtown<br>Manhattan,40.753767,-73.986866,Manhattan,Midtown,http://www.imdb.com/title/tt0064665/,Films
Midnight Cowboy,1968,John Schlesinger,Times Square<br>Manhattan,40.75819652,-73.98512006,Manhattan,Times Square,http://www.imdb.com/title/tt0064665/,Films
Mirage,1965,Edward Dmytryk,Fifth Ave. and 66th St.<br>Central Park<br>Manhattan,40.7687,-73.9698,Manhattan,Central Park,http://imdb.com/title/tt0059448/,Films
My Dinner with Andr,1991,Louis Malle,Subway ,40.71860728,-73.988360170000007,Manhattan,Lower East Side,http://imdb.com/title/tt0082783/,Films
New Jack City,1991,Mario Van Peebles,Grant's Tomb<br>Harlem<br>Manhattan,40.8127049,-73.96310449,Manhattan,Harlem,http://www.imdb.com/title/tt0102526/,Films
"Next Stop, Greenwich Village",1975,Paul Mazursky,MacDougal St.<br>West Village<br>Manhattan,40.72936455,-74.00103629,Manhattan,West Village,http://imdb.com/title/tt0074963/,Films
Nighthawks,1981,Bruce Malmuth,Roosevelt Island Tramway<br>Manhattan,40.75835906,-73.95694613,Manhattan,Roosevelt Island,http://www.imdb.com/title/tt0082817/,Films
No Way to Treat a Lady,1968,Jack Smight,New York City Bus<br>Manhattan,40.72268923,-73.98893952,Manhattan,Lower East Side,http://www.imdb.com/title/tt0063356/,Films
No Way to Treat a Lady,1968,Jack Smight,Carmines<br>200 W. 44th St. <br>Manhattan,40.75736758,-73.98670793,Manhattan,Times Square,http://www.imdb.com/title/tt0063356/,Films
North by Northwest,1959,Alfred Hitchcock,Grand Central Terminal<br>Midtown<br>Manhattan,40.75310896,-73.9769876,Manhattan,Midtown,http://imdb.com/title/tt0053125/,Films
On the Town,1949,"Stanley Donen,Gene Kelly",Little Italy<br>Manhattan,40.71813564,-73.99790883,Manhattan,Lower East Side,http://imdb.com/title/tt0041716/,Films
On the Waterfront,1954,Elia Kazan,"Hoboken, New Jersey<br>View of Manhattan",40.74712691,-74.02497768,Manhattan,New York Harbor,http://imdb.com/title/tt0047296/,Films
One Fine Day,1996,Michael Hoffman,Carnegie Deli<br>Seventh Ave. and W. 55th St.<br>Manhattan,40.7642,-73.981,Manhattan,Midtown,http://www.imdb.com/title/tt0117247/,Films
One Fine Day,1996,Michael Hoffman,Near Bethesda Fountain<br>Central Park<br>Manhattan,40.77426124,-73.97052348,Manhattan,Central Park,http://www.imdb.com/title/tt0117247/,Films
Other People's Money,1991,Norman Jewison,World Trade Center<br>Lower Manhattan,40.71292303,-74.01314914,Manhattan,Lower Manhattan,http://imdb.com/title/tt0102609/,Films
Pieces of April,2003,Peter Hedges,Lower East Side<br>Manhattan,40.72057,-73.985953,Manhattan,Lower East Side,http://www.imdb.com/title/tt0311648/,Films
Plaza Suite,1971,Arthur Hiller,Rockefeller Center<br>600 Fifth Ave.<br>Manhattan,40.757603,-73.978101,Manhattan,Midtown,http://www.imdb.com/title/tt0067589/,Films
Prime,2005,Ben Younger,Dean and Deluca<br>SoHo<br>Manhattan,40.725367,-73.999702,Manhattan,SoHo,http://www.imdb.com/title/tt0387514/,Films
Ragtime,1981,Milos Forman,E. 11th St. between Ave. A and Ave. B<br>East Village<br>Manhattan,40.72795799,-73.9806515,Manhattan,East Village,http://www.imdb.com/title/tt0082970/,Films
Report to the Commissioner,1975,Milton Katselas,Winter Garden Theater<br>1634 Broadway<br>Manhattan,40.761528,-73.983802,Manhattan,Midtown,http://www.imdb.com/title/tt0073620/,Films
Rosemary's Baby,1968,Roman Polanski,Fifth Ave. and E. 62nd St.<br>Upper East Side<br>Manhattan,40.7661,-73.9717,Manhattan,Upper East Side,http://www.imdb.com/title/tt0063522/,Films
Rosemary's Baby,1968,Roman Polanski,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.77639,-73.976069,Manhattan,Upper West Side,http://www.imdb.com/title/tt0063522/,Films
Rosemary's Baby,1968,Roman Polanski,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.77656053,-73.97615075,Manhattan,Upper West Side,http://www.imdb.com/title/tt0063522/,Films
Searching for Bobby Fischer,1993,Steven Zaillian,Washington Square Park<br>West Village<br>Manhattan,40.7310719,-73.99928749,Manhattan,West Village,http://www.imdb.com/title/tt0108065/,Films
Sex and the City,1998-2004,"Darren Star,(more)",Magnolia Bakery<br>401 Bleecker St.<br>Manhattan,40.73580345,-74.00501668,Manhattan,West Village,http://www.imdb.com/title/tt0159206/,Films
Shadows,1959,John Cassavetes,MoMA<br>W. 53rd St.<br>Manhattan,40.7608458,-73.97647262,Manhattan,Midtown,http://imdb.com/title/tt0053270/,Films
Shaft,1971,Gordon Parks,Seventh Ave. and W. 42nd St.<br>Times Square<br>Manhattan,40.756,-73.987,Manhattan,Times Square,http://www.imdb.com/title/tt0067741/,Films
Shaft,2000,John Singleton,New York County Courthouse<br>60 Centre St.<br>Lower Manhattan,40.714451,-74.002329,Manhattan,Lower Manhattan,http://www.imdb.com/title/tt0162650/,Films
She's the One,1996,Edward Burns,McHales Pub<br>W. 46th and Eighth Ave.<br>Manhattan,40.75974059,-73.98754478,Manhattan,Midtown,http://www.imdb.com/title/tt0117628/,Films
Single White Female,1992,Barbet Schroeder,Ansonia Hotel<br>2109 Broadway<br>Manhattan,40.779956,-73.981881,Manhattan,Upper West Side,http://www.imdb.com/title/tt0105414/,Films
Six Degrees of Separation,1993,Fred Schepisi,Central Park<br>Manhattan,40.77150687,-73.9690429,Manhattan,Central Park,http://www.imdb.com/title/tt0108149/,Films
Six Degrees of Separation,1993,Fred Schepisi,Metropolitan Museum of Art<br>Fifth Ave. at 82nd St.,40.77907909,-73.96261096,Manhattan,Upper East Side,http://www.imdb.com/title/tt0108149/,Films
Sleepers,1996,Barry Levinson,"W. 47th St., near Pier 87<br>Manhattan",40.76461637,-73.99743676,Manhattan,Midtown,http://www.imdb.com/title/tt0117665/,Films
Sleepers,1996,Barry Levinson,"W. 47th St., near Pier 87<br>Manhattan",40.76474639,-73.99790883,Manhattan,Midtown,http://www.imdb.com/title/tt0117665/,Films
Smithereens,1982,Susan Seidelman,Lower East Side<br>Manhattan,40.71854,-73.98918,Manhattan,Lower East Side,http://www.imdb.com/title/tt0084698/,Films
